,LAT_016,LONG_017,lat,long,elevation
7878,31210489,83311293,31.35,-83.517,269.03
7879,31245778,83301864,31.402,-83.501,383.86
7880,31272894,83314868,31.451,-83.518,357.61
7881,31282625,83395601,31.467,-83.652,298.56
7882,31282456,83394820,31.467,-83.651,314.96
7883,31264567,83314717,31.435,-83.518,318.24
7884,31263379,83283316,31.434,-83.468,331.36
7885,31254994,83255293,31.418,-83.418,305.12
7886,31262972,83313784,31.434,-83.518,344.49
7887,31274906,83314756,31.451,-83.518,357.61
7888,31342733,83300219,31.567,-83.5,337.93
7889,31203231,83375149,31.334,-83.618,295.28
7890,31203307,83375764,31.334,-83.618,295.28
7891,31220652,83251855,31.367,-83.417,301.84
7892,31255696,83255494,31.418,-83.418,305.12
7893,31255757,83255912,31.418,-83.418,305.12
7894,31274320,83390720,31.451,-83.65,291.99
7895,31333236,83381824,31.551,-83.634,318.24
7896,31234362,83243056,31.385,-83.401,367.45
7897,31245032,83263472,31.401,-83.434,298.56
7898,31245281,83250555,31.401,-83.417,301.84
